img_ts,send_ts,dt_ms,w_x,w_y,w_z,v_x,v_y,v_z
1775656840.785846,1775656841.200445,414.599,0.000,0.000,0.000,-19.208,-23.627,0.282
1775656841.203320,1775656841.612905,409.586,0.000,0.000,0.000,-28.410,-35.323,-3.085
1775656841.613954,1775656842.014212,400.257,0.000,0.000,0.000,-31.670,-41.696,-1.386
1775656842.015321,1775656842.413623,398.301,0.000,0.000,0.000,-33.329,-44.606,-2.036
1775656842.414601,1775656842.814905,400.305,0.000,0.000,0.000,-34.913,-46.190,-2.011
1775656842.816260,1775656843.210642,394.382,0.000,0.000,0.000,-36.524,-47.176,-1.318
1775656843.211759,1775656843.601854,390.095,0.000,0.000,0.000,-34.835,-46.719,2.106
1775656843.602999,1775656844.021556,418.557,0.000,0.000,0.000,-35.699,-47.450,1.156
1775656844.022616,1775656844.417570,394.954,0.000,0.000,0.000,-37.244,-47.736,0.486
,,,,,, 
1775656844.834875,1775656845.235468,400.593,-0.024,-0.053,0.000,0.000,0.000,0.000
1775656845.236484,1775656845.647069,410.584,-0.139,0.025,0.000,0.000,0.000,0.000
1775656845.648181,1775656846.022384,374.202,0.010,-0.091,0.000,0.000,0.000,0.000
1775656846.023444,1775656846.410438,386.994,0.077,-0.131,0.000,0.000,0.000,0.000
1775656846.411992,1775656846.809099,397.107,0.070,-0.100,0.000,0.000,0.000,0.000
1775656846.811623,1775656847.192260,380.637,-0.011,-0.037,0.000,0.000,0.000,0.000
1775656847.193241,1775656847.575186,381.946,0.051,-0.013,0.000,0.000,0.000,0.000
1775656847.576310,1775656847.963459,387.148,0.107,-0.152,0.000,0.000,0.000,0.000
1775656847.964907,1775656848.349705,384.798,0.093,-0.103,0.000,0.000,0.000,0.000
1775656848.351891,1775656848.755622,403.731,0.100,-0.136,0.000,0.000,0.000,0.000
1775656848.756669,1775656849.140229,383.560,0.025,-0.018,0.000,0.000,0.000,0.000
1775656849.142236,1775656849.527515,385.279,0.033,-0.047,0.000,0.000,0.000,0.000
,,,,,, 
1775656849.911097,1775656850.287400,376.303,0.000,0.000,0.000,-32.373,-46.266,-0.674
1775656850.288400,1775656850.673286,384.886,0.000,0.000,0.000,-34.087,-46.083,-2.137
1775656850.674304,1775656851.061079,386.775,0.000,0.000,0.000,-32.715,-46.622,1.250
1775656851.062485,1775656851.448339,385.855,0.000,0.000,0.000,-31.517,-46.130,0.944
1775656851.450125,1775656851.832754,382.630,0.000,0.000,0.000,-30.716,-46.658,2.252
1775656851.833828,1775656852.222478,388.650,0.000,0.000,0.000,-31.337,-46.806,1.005
1775656852.224113,1775656852.600203,376.090,0.000,0.000,0.000,-32.010,-46.457,0.202
1775656852.601643,1775656852.988966,387.323,0.000,0.000,0.000,-34.347,-46.717,0.286
1775656852.990498,1775656853.384592,394.094,0.000,0.000,0.000,-33.838,-45.827,-1.209
1775656853.385785,1775656853.768703,382.918,0.000,0.000,0.000,-33.178,-46.319,-0.707
1775656853.769881,1775656854.146479,376.598,0.000,0.000,0.000,-28.615,-43.599,-0.242
1775656854.147480,1775656854.546824,399.345,0.000,0.000,0.000,-31.676,-45.418,-1.271
1775656854.548124,1775656854.937469,389.346,0.000,0.000,0.000,-32.864,-45.574,-1.055
1775656854.938516,1775656855.317649,379.133,0.000,0.000,0.000,-33.040,-46.638,-1.279
1775656855.318573,1775656855.708816,390.243,0.000,0.000,0.000,-30.566,-45.488,-0.344
1775656855.710496,1775656856.095139,384.643,0.000,0.000,0.000,-31.120,-45.482,-0.575
